sale_id,store_id,product_id,quantity,sale_date,amount,product_name,category,price,store_name,city,region,total_revenue
1,101,1,2.0,2024-01-05,64000.0,Samsung TV,Electronics,32000,RetailMart Bandra,Mumbai,West,64000.0
2,102,3,5.0,2024-01-05,2250.0,Basmati Rice,Grocery,450,RetailMart CP,Delhi,North,2250.0
3,103,2,1.0,2024-01-06,4500.0,Nike Shoes,Clothing,4500,RetailMart Koramangala,Bangalore,South,4500.0
4,104,5,3.0,2024-01-06,2697.0,Cotton Kurta,Clothing,899,RetailMart Salt Lake,Kolkata,East,2697.0
5,105,4,2.0,2024-01-07,5998.0,OnePlus Earbuds,Electronics,2999,RetailMart Anna Nagar,Chennai,South,5998.0
6,106,6,4.0,2024-01-07,1120.0,Sunflower Oil,Grocery,280,RetailMart Jubilee Hills,Hyderabad,South,1120.0
7,107,7,1.0,2024-01-08,1299.0,Laptop Stand,Electronics,1299,RetailMart MG Road,Pune,West,1299.0
8,108,8,2.0,2024-01-08,3198.0,Denim Jeans,Clothing,1599,RetailMart Sector 17,Chandigarh,North,3198.0
10,110,10,1.0,2024-01-09,2499.0,Bluetooth Speaker,Electronics,2499,RetailMart Linking Road,Mumbai,West,2499.0
11,111,3,3.0,2024-01-10,1350.0,Basmati Rice,Grocery,450,RetailMart Indiranagar,Bangalore,South,1350.0
12,112,1,1.0,2024-01-10,32000.0,Samsung TV,Electronics,32000,RetailMart Connaught Place,Delhi,North,32000.0
14,102,2,2.0,2024-01-11,9000.0,Nike Shoes,Clothing,4500,RetailMart CP,Delhi,North,9000.0
15,103,6,5.0,2024-01-12,1400.0,Sunflower Oil,Grocery,280,RetailMart Koramangala,Bangalore,South,1400.0
